TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,,
,,,,,,,,,,,,,,
section,David,,False,,,,,,,,,,,
task,Room Inspection,"Check the following in vacant rooms:

Remote's
A/C
Curtain condition
Lampshades
Lights

Note any observable issues.",,1,1,Mohammad (57114274),,,,America/Chicago,,,,
task,Restrooms,Clean Restrooms and replace TP,,3,1,Mohammad (57114274),,,,America/Chicago,,,,
task,Room 108,Super glue vanity bottom drawer handle,,4,1,Front (57279394),,,,America/Chicago,,,,
task,Building 3,"305-tp stick missing

no curtain rod

one comforter has holes",,4,1,Mohammad (57114274),,,,America/Chicago,,,,
task,Building 3,"308- tp stick is missing

microwave is rusted

3/4 curtain hooks missing/ miss. rod",,4,1,Mohammad (57114274),,,,America/Chicago,,,,
task,Building 3,"310- tp stick is missing

2 RR screws missing",,4,1,Mohammad (57114274),,,,America/Chicago,,,,
task,Building 1,117- window curtain missing 2 hooks/rod,,4,1,Mohammad (57114274),,,,America/Chicago,,,,
task,Building 1,"114- missing tp stick

lampshade by window replaced

4/5 hooks are missing",,4,1,Mohammad (57114274),,,,America/Chicago,,,,
task,Building 1,111- 4 curtain hooks are missing,,4,1,Mohammad (57114274),,,,America/Chicago,,,,
task,Building 1,109- 2 hooks missing,,4,1,Mohammad (57114274),,,,America/Chicago,,,,
task,room 241,Missing curtain,,4,1,Mohammad (57114274),,,,America/Chicago,,,,
task,Room 107,Remove Old door locks on top of inside and outside doors,,4,1,Front (57279394),,,,America/Chicago,,,,
,,,,,,,,,,,,,,
